Model,Best Params,RMSE
LightGBM,"{'model': 'LightGBM', 'n_estimators': 139, 'learning_rate': 0.070108337428366, 'num_leaves': 23, 'max_depth': -1}",0.5238132423810965
CatBoost,"{'model': 'CatBoost', 'iterations': 243, 'depth': 8, 'learning_rate': 0.016916924811299264, 'l2_leaf_reg': 4}",0.5168170376367409
CatBoost,"{'model': 'CatBoost', 'iterations': 274, 'depth': 8, 'learning_rate': 0.015562695844702113, 'l2_leaf_reg': 4}",0.5166525853538066
CatBoost,"{'model': 'CatBoost', 'iterations': 263, 'depth': 7, 'learning_rate': 0.010158424702427041, 'l2_leaf_reg': 4}",0.521393138085193
CatBoost,"{'model': 'CatBoost', 'iterations': 287, 'depth': 9, 'learning_rate': 0.020668084335429958, 'l2_leaf_reg': 5}",0.5164685499331007
RandomForest,"{'model': 'RandomForest', 'n_estimators': 498, 'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.5249903232964495
CatBoost,"{'model': 'CatBoost', 'iterations': 240, 'depth': 7, 'learning_rate': 0.03819674614649296, 'l2_leaf_reg': 3}",0.5168899146415613
CatBoost,"{'model': 'CatBoost', 'iterations': 283, 'depth': 8, 'learning_rate': 0.029037515503628465, 'l2_leaf_reg': 4}",0.5168152900860662
CatBoost,"{'model': 'CatBoost', 'iterations': 257, 'depth': 7, 'learning_rate': 0.01549373466781235, 'l2_leaf_reg': 5}",0.5169258184093989
LightGBM,"{'model': 'LightGBM', 'n_estimators': 237, 'learning_rate': 0.12210196488882984, 'num_leaves': 26, 'max_depth': 7}",0.5393627564993607
